,precision,recall,f1-score,support
0,0.8814007940547695,0.9320701905479599,0.9060276266220176,9289.0
1,0.7357621440536013,0.6013004791238877,0.6617702448210923,2922.0
accuracy,0.852919498812546,0.852919498812546,0.852919498812546,0.852919498812546
macro avg,0.8085814690541854,0.7666853348359238,0.7838989357215549,12211.0
weighted avg,0.8465505659568732,0.852919498812546,0.8475786814396161,12211.0
